# pos	SRR10903401-20200102	SRR10903402-20200102
455	32	141
456	32	139
457	31	140
458	30	142
459	29	141
460	29	144
461	29	143
462	30	144
463	30	146
464	30	153
465	30	154
466	30	155
467	31	155
468	31	155
469	31	155
470	33	158
471	32	161
472	33	163
473	31	161
474	29	162
475	31	165
476	34	164
477	34	165
478	34	164
479	34	163
480	33	164
481	33	163
482	33	163
483	33	163
484	32	163
485	32	168
486	32	167
487	32	169
488	32	169
489	33	171
490	32	175
491	34	173
492	34	174
493	34	174
494	34	173
495	33	171
496	33	171
497	31	173
498	31	173
499	31	173
500	31	176
501	31	177
502	31	180
503	30	179
504	30	179
505	30	180
506	30	181
507	30	176
508	30	176
509	30	174
510	30	174
511	30	173
512	30	173
513	30	177
514	30	179
515	32	179
516	32	178
517	32	179
518	33	182
519	34	187
520	37	193
521	37	196
522	37	195
523	37	197
524	37	198
525	37	198
526	37	198
527	37	196
528	37	197
529	37	197
530	37	199
531	36	206
532	36	201
533	35	199
534	35	198
535	35	199
536	35	201
537	35	202
538	35	201
539	35	199
540	35	199
541	35	198
542	34	196
543	35	196
544	35	197
545	36	196
546	36	195
547	36	195
548	36	195
549	36	193
550	37	192
551	37	191
552	37	190
553	38	193
554	37	193
555	37	193
556	37	193
557	38	193
558	38	195
559	38	194
560	38	197
561	37	196
562	37	196
563	37	196
564	37	197
565	37	197
566	38	197
567	40	197
568	40	198
569	42	197
570	44	196
571	44	194
572	46	195
573	46	195
574	46	195
575	46	195
576	46	195
577	46	193
578	46	195
579	46	198
580	45	199
581	45	205
582	45	207
583	45	207
584	45	207
585	45	209
586	45	211
587	47	215
588	47	217
589	48	219
590	47	217
591	47	217
592	48	217
593	48	216
594	48	217
595	47	218
596	48	221
597	49	222
598	49	222
599	48	222
600	49	222
601	51	219
602	52	220
603	52	221
604	52	218
605	51	218
606	51	219
607	50	219
608	50	223
609	50	225
610	50	225
611	52	225
612	53	225
613	52	229
614	54	227
615	54	226
616	56	230
617	58	232
618	58	233
619	57	232
620	57	234
621	55	235
622	54	234
623	54	234
624	54	237
625	54	234
626	52	231
627	52	230
628	55	233
629	55	231
630	57	230
631	57	231
632	58	233
633	60	234
634	61	232
635	61	232
636	61	225
637	61	227
638	61	227
639	61	229
640	61	226
641	61	221
642	60	220
643	60	219
644	60	219
645	60	219
646	60	224
647	60	224
648	61	222
649	60	222
650	60	218
651	60	217
652	62	216
653	62	213
654	62	212
655	63	212
656	64	212
657	64	210
658	65	211
659	65	212
660	65	212
661	65	213
662	67	213
663	69	209
664	70	206
665	70	206
666	68	209
667	68	209
668	67	206
669	67	208
670	68	207
671	69	209
672	71	211
673	71	211
674	71	210
675	72	214
676	72	214
677	76	215
678	77	217
679	77	219
680	77	219
681	77	217
682	76	215
683	76	216
684	76	214
685	76	214
686	75	213
687	75	213
688	76	211
689	78	211
690	78	215
691	80	216
692	83	218
693	83	219
694	84	223
695	86	223
696	87	224
697	88	224
698	88	224
699	87	223
700	87	223
701	87	228
702	87	228
703	87	228
704	86	226
705	86	228
706	86	230
707	85	228
708	85	228
709	85	227
710	85	227
711	85	230
712	87	235
713	87	238
714	87	242
715	86	241
716	86	240
717	85	239
718	86	239
719	85	241
720	84	242
721	82	242
722	80	243
723	80	243
724	80	244
725	80	247
726	80	250
727	81	256
728	82	258
729	83	255
730	82	255
731	82	253
732	83	253
733	84	249
734	84	249
735	85	251
736	85	252
737	84	248
738	83	246
739	82	247
740	82	242
741	84	240
742	84	236
743	85	235
744	83	232
745	83	234
746	83	234
747	83	234
748	81	232
749	80	230
750	79	228
751	78	226
752	77	224
753	77	226
754	78	225
755	78	224
756	78	224
757	78	222
758	78	221
759	78	217
760	77	217
761	77	217
762	75	216
763	74	212
764	73	212
765	73	223
766	73	226
767	74	229
768	72	227
769	73	229
770	73	229
771	74	230
772	75	233
773	75	234
774	76	236
775	77	238
776	77	237
777	77	242
778	77	244
779	74	245
780	74	248
781	73	248
782	73	247
783	77	246
784	77	250
785	78	249
786	78	252
787	79	249
788	79	250
789	79	249
790	79	248
791	79	247
792	79	250
793	80	249
794	80	249
795	80	254
796	79	256
797	77	252
798	76	252
799	76	251
800	77	250
801	75	250
802	75	250
803	74	252
804	75	254
805	76	254
806	77	255
807	77	255
808	77	255
809	78	252
810	77	256
811	77	255
812	75	256
813	74	255
814	74	258
815	73	258
816	72	261
817	72	258
818	72	258
819	74	255
820	75	255
821	74	257
822	70	256
823	70	254
824	72	253
825	74	257
826	72	253
827	70	254
828	69	250
829	68	246
830	69	242
831	67	240
832	67	243
833	67	242
834	69	240
835	69	240
836	69	241
837	69	242
838	70	245
839	70	246
840	69	246
841	70	243
842	68	239
843	68	239
844	68	239
845	67	237
846	67	235
847	66	233
848	66	234
849	66	235
850	66	238
851	66	240
852	69	238
853	70	239
854	70	244
855	70	245
856	71	247
857	71	247
858	74	250
859	74	250
860	73	248
861	73	247
862	74	244
863	72	238
864	73	237
865	73	237
866	72	238
867	72	238
868	72	240
869	70	237
870	70	237
871	70	238
872	71	239
873	70	239
874	70	239
875	68	240
876	68	242
877	69	235
878	69	235
879	71	240
880	70	242
881	71	245
882	72	245
883	73	244
884	73	244
885	77	245
886	77	246
887	77	247
888	77	248
889	79	251
890	79	251
891	79	249
892	79	248
893	81	250
894	80	248
895	80	249
896	80	253
897	81	255
898	81	257
899	81	262
900	81	263
901	81	264
902	82	269
903	84	269
904	83	266
905	82	264
906	81	268
907	81	270
908	82	272
909	83	274
910	84	276
911	85	276
912	85	280
913	84	281
914	84	276
915	84	275
916	84	275
917	83	270
918	82	271
919	81	271
920	81	272
921	82	274
922	81	271
923	80	271
924	80	270
925	80	265
926	81	265
927	81	264
928	83	266
929	82	266
930	82	265
931	83	267
932	83	267
933	80	268
934	80	267
935	80	259
936	78	259
937	77	261
938	77	260
939	77	259
940	77	258
941	77	258
942	76	257
943	76	256
944	77	259
945	75	257
946	75	258
947	76	257
948	76	257
949	76	256
950	77	255
951	78	257
952	78	257
953	78	257
954	80	257
955	80	257
956	81	260
957	85	261
958	86	265
959	87	265
960	86	265
961	87	265
962	89	263
963	89	265
964	89	266
965	89	263
966	89	262
967	88	262
968	87	263
969	88	262
970	85	265
971	85	263
972	84	263
973	84	264
974	83	264
975	82	263
976	80	260
977	80	260
978	80	260
979	81	259
980	83	261
981	83	264
982	83	267
983	84	262
984	85	267
985	86	269
986	86	275
987	87	277
988	87	276
989	87	276
990	86	276
991	86	275
992	85	275
993	85	273
994	85	270
995	85	266
996	85	267
997	86	271
998	86	272
999	86	270
1000	87	270
1001	87	269
1002	87	265
1003	86	263
1004	85	259
1005	85	257
1006	85	253
1007	86	252
1008	84	255
1009	84	256
1010	86	256
1011	87	259
1012	87	257
1013	87	259
1014	85	260
1015	85	256
1016	86	259
1017	88	260
1018	88	257
1019	88	256
1020	88	254
1021	86	254
1022	85	255
1023	85	254
1024	85	252
1025	87	253
1026	91	268
1027	93	270
1028	93	277
1029	93	281
1030	91	282
1031	91	281
1032	89	281
1033	90	278
1034	88	276
1035	90	277
1036	89	276
1037	89	274
1038	88	273
1039	87	273
1040	87	277
1041	88	279
1042	91	288
1043	88	292
1044	88	291
1045	88	294
1046	87	290
1047	87	290
1048	88	290
1049	88	291
1050	89	289
1051	89	290
1052	89	294
1053	88	294
1054	88	295
1055	88	294
1056	88	294
1057	88	290
1058	89	288
1059	89	287
1060	89	286
1061	89	290
1062	90	292
1063	90	290
1064	90	287
1065	90	287
1066	90	289
1067	90	288
1068	90	288
1069	91	287
1070	91	284
1071	91	283
1072	93	282
1073	94	286
1074	98	289
1075	99	291
1076	100	295
1077	103	301
1078	105	299
1079	103	295
1080	103	298
1081	102	299
1082	101	301
1083	99	303
1084	98	305
1085	99	307
1086	102	310
1087	101	308
1088	101	309
1089	101	311
1090	102	318
1091	102	322
1092	102	321
1093	103	322
1094	103	325
1095	103	329
1096	102	340
1097	104	338
1098	103	339
1099	105	343
1100	110	347
1101	110	351
1102	109	351
1103	109	350
1104	110	364
1105	104	365
1106	103	372
1107	104	377
1108	105	379
1109	105	373
1110	105	373
1111	106	377
1112	105	373
1113	105	372
1114	109	376
1115	112	378
1116	113	384
1117	114	395
1118	114	393
1119	113	396
1120	114	395
1121	116	395
1122	116	395
1123	116	393
1124	116	396
1125	116	404
1126	117	413
1127	119	418
1128	121	421
1129	123	423
1130	122	425
1131	120	427
1132	119	422
1133	119	416
1134	118	418
1135	116	417
1136	114	415
1137	113	414
1138	112	417
1139	111	417
1140	110	414
1141	112	420
1142	114	423
1143	116	426
1144	120	427
1145	120	425
1146	121	428
1147	121	433
1148	121	437
1149	119	444
1150	119	444
1151	119	446
1152	120	449
1153	121	454
1154	122	460
1155	124	464
1156	127	474
1157	128	480
1158	127	480
1159	125	481
1160	125	489
1161	126	491
1162	125	490
1163	127	494
1164	128	498
1165	133	511
1166	134	511
1167	134	513
1168	131	517
1169	135	520
1170	135	523
1171	140	530
1172	142	540
1173	143	547
1174	143	548
1175	143	550
1176	144	552
1177	143	558
1178	145	561
1179	145	559
1180	146	559
1181	148	563
1182	148	565
1183	150	568
1184	149	569
1185	150	572
1186	149	568
1187	150	566
1188	151	566
1189	154	568
1190	154	569
1191	154	569
1192	154	558
1193	154	553
1194	154	553
1195	153	558
1196	153	554
1197	152	554
1198	153	552
1199	152	556
1200	153	560
1201	152	560
1202	152	558
1203	152	557
1204	152	556
1205	151	555
1206	151	551
1207	151	552
1208	152	551
1209	151	554
1210	151	556
1211	150	559
1212	157	557
1213	157	560
1214	158	565
1215	159	572
1216	158	575
1217	159	578
1218	159	583
1219	158	587
1220	157	586
1221	156	590
1222	157	587
1223	156	590
1224	157	592
1225	158	591
1226	157	592
1227	157	587
1228	156	588
1229	155	587
1230	155	588
1231	155	585
1232	155	587
1233	155	590
1234	155	595
1235	154	590
1236	155	595
1237	150	595
1238	150	597
1239	151	597
1240	154	596
1241	154	594
1242	154	597
1243	155	600
1244	157	609
1245	160	603
1246	160	602
1247	162	603
1248	159	600
1249	159	598
1250	154	596
1251	154	593
1252	155	597
1253	157	600
1254	157	600
1255	158	603
1256	158	601
1257	157	605
1258	155	603
1259	151	606
1260	150	605
1261	149	607
1262	149	606
1263	149	606
1264	150	606
1265	150	603
1266	148	601
1267	148	601
1268	146	592
1269	148	598
1270	149	605
1271	148	606
1272	152	610
1273	151	613
1274	151	621
1275	151	625
1276	151	624
1277	149	619
1278	149	615
1279	148	611
1280	144	617
1281	145	618
1282	151	623
1283	152	625
1284	152	626
1285	152	628
1286	154	632
1287	156	632
1288	151	628
1289	151	626
1290	150	625
1291	150	625
1292	151	627
1293	153	631
1294	154	633
1295	152	633
1296	153	637
1297	152	635
1298	152	629
1299	152	622
1300	152	612
1301	151	607
1302	151	601
1303	152	604
1304	151	603
1305	150	602
1306	145	596
1307	145	591
1308	143	591
1309	143	592
1310	145	591
1311	146	584
1312	145	582
1313	144	580
1314	141	566
1315	141	563
1316	135	549
1317	132	537
1318	131	535
1319	131	529
1320	127	517
1321	126	513
1322	122	508
1323	121	500
1324	121	504
1325	121	500
1326	121	500
1327	120	496
1328	117	483
1329	116	479
1330	118	479
1331	117	473
1332	117	473
1333	118	475
1334	118	475
1335	118	475
1336	118	474
1337	117	471
1338	116	469
1339	115	467
1340	113	464
1341	113	463
1342	113	461
1343	112	465
1344	114	467
1345	113	468
1346	113	470
1347	112	471
1348	112	472
1349	111	468
1350	110	458
1351	107	452
1352	105	449
1353	104	451
1354	105	454
1355	107	455
1356	107	456
1357	110	463
1358	111	470
1359	113	477
1360	116	475
1361	117	481
1362	115	486
1363	109	506
1364	110	504
1365	113	501
1366	112	503
1367	112	499
1368	115	499
1369	113	499
1370	113	501
1371	114	503
1372	115	506
1373	114	514
1374	113	514
1375	117	522
1376	117	527
1377	117	523
1378	117	520
1379	115	523
1380	115	521
1381	116	525
1382	117	530
1383	118	528
1384	119	521
1385	119	518
1386	117	516
1387	116	504
1388	115	505
1389	117	509
1390	119	516
1391	117	516
1392	117	513
1393	117	510
1394	119	517
1395	118	505
1396	118	505
1397	115	504
1398	115	504
1399	119	508
1400	121	509
1401	121	515
1402	118	516
1403	118	507
1404	118	514
1405	116	515
1406	115	514
1407	116	515
1408	116	512
1409	116	510
1410	118	509
1411	119	510
1412	122	520
1413	125	537
1414	126	542
1415	126	544
1416	126	554
1417	128	562
1418	129	567
1419	129	571
1420	128	566
1421	128	560
1422	126	559
1423	122	559
1424	124	550
1425	125	560
1426	124	554
1427	124	551
1428	124	548
1429	125	552
1430	124	550
1431	123	550
1432	124	550
1433	125	551
1434	125	548
1435	129	562
1436	128	562
1437	128	563
1438	127	566
1439	127	569
1440	127	573
1441	128	575
1442	127	576
1443	127	576
1444	125	572
1445	126	571
1446	124	564
1447	124	565
1448	124	563
1449	124	561
1450	124	563
1451	124	565
1452	124	577
1453	125	577
1454	131	578
1455	131	581
1456	133	586
1457	133	587
1458	135	595
1459	135	592
1460	135	589
1461	134	588
1462	134	589
1463	135	590
1464	135	590
1465	135	588
1466	136	589
1467	136	590
1468	136	594
1469	136	594
1470	135	602
1471	137	606
1472	138	611
1473	137	613
1474	137	614
1475	137	613
1476	139	613
1477	141	611
1478	143	615
1479	143	617
1480	145	618
1481	147	626
1482	148	629
1483	148	631
1484	149	634
1485	148	627
1486	148	631
1487	149	633
1488	146	623
1489	148	623
1490	148	627
1491	148	631
1492	149	634
1493	152	636
1494	153	631
1495	149	630
1496	153	632
1497	154	626
1498	154	630
1499	154	627
1500	154	629
1501	154	632
1502	154	633
1503	157	635
1504	157	637
1505	156	635
1506	155	632
1507	157	634
1508	154	624
1509	156	615
1510	155	611
1511	152	606
1512	153	606
1513	155	589
1514	154	581
1515	152	571
1516	150	568
1517	151	560
1518	149	558
1519	149	548
1520	148	541
1521	147	536
1522	146	532
1523	146	532
1524	145	528
1525	144	529
1526	138	526
1527	138	527
1528	138	524
1529	138	520
1530	138	521
1531	138	524
1532	137	525
1533	137	522
1534	137	522
1535	136	521
1536	136	519
1537	136	514
1538	136	514
1539	137	510
1540	135	504
1541	135	499
1542	134	489
1543	136	488
1544	136	485
1545	131	481
1546	130	480
1547	130	482
1548	127	478
1549	126	476
1550	122	472
1551	120	458
1552	120	459
1553	120	455
1554	120	452
1555	119	443
1556	119	435
1557	117	430
1558	117	431
1559	118	428
1560	118	426
1561	115	425
1562	113	425
1563	111	409
1564	110	412
1565	109	413
1566	109	409
1567	105	395
1568	103	393
1569	103	391
1570	103	394
1571	103	398
1572	101	395
1573	100	396
1574	99	398
1575	97	393
1576	98	396
1577	98	397
1578	99	399
1579	99	404
1580	98	415
1581	102	419
1582	102	423
1583	103	425
1584	101	419
1585	101	418
1586	97	407
1587	96	399
1588	100	399
1589	101	401
1590	102	400
1591	104	401
1592	103	404
1593	102	403
1594	102	402
1595	102	398
1596	99	394
1597	99	394
1598	100	398
1599	101	407
1600	99	411
1601	99	407
1602	100	411
1603	102	410
1604	102	412
1605	103	417
1606	104	420
1607	102	425
1608	106	424
1609	104	417
1610	104	415
1611	106	418
1612	109	423
1613	111	418
1614	112	420
1615	112	422
1616	113	424
1617	114	429
1618	114	432
1619	113	426
1620	112	417
1621	112	416
1622	112	413
1623	110	409
1624	113	417
1625	115	417
1626	114	418
1627	113	415
1628	111	411
1629	107	403
1630	105	400
1631	104	399
1632	103	396
1633	103	393
1634	104	389
1635	103	393
1636	103	398
1637	99	391
1638	98	387
1639	98	394
1640	97	395
1641	98	398
1642	98	398
1643	97	396
1644	96	392
1645	96	389
1646	94	393
1647	91	395
1648	91	395
1649	91	394
1650	91	393
1651	93	395
1652	92	396
1653	92	398
1654	91	400
1655	93	403
1656	93	405
1657	91	406
1658	89	407
1659	88	405
1660	87	408
1661	88	411
1662	89	407
1663	89	410
1664	89	413
1665	90	409
1666	91	412
1667	90	411
1668	88	408
1669	86	411
1670	86	414
1671	87	414
1672	88	415
1673	88	415
1674	88	413
1675	89	412
1676	89	409
1677	89	407
1678	88	407
1679	87	407
1680	87	405
1681	87	403
1682	88	401
1683	87	398
1684	87	397
1685	86	394
1686	85	392
1687	86	393
1688	87	393
1689	88	395
1690	87	394
1691	87	396
1692	88	398
1693	89	401
1694	88	401
1695	90	406
1696	89	405
1697	91	401
1698	91	401
1699	91	402
1700	91	396
1701	91	397
1702	92	400
1703	94	400
1704	97	403
1705	97	405
1706	99	404
1707	99	404
1708	99	408
1709	100	405
1710	100	405
1711	101	407
1712	102	406
1713	101	409
1714	100	408
1715	100	401
1716	100	394
1717	99	392
1718	99	389
1719	98	388
1720	98	390
1721	94	387
1722	94	386
1723	94	389
1724	94	395
1725	94	396
1726	94	401
1727	97	401
1728	99	405
1729	99	403
1730	100	398
1731	99	394
1732	95	388
1733	95	384
1734	92	382
1735	94	384
1736	94	386
1737	94	388
1738	93	383
1739	89	373
1740	88	368
1741	88	370
1742	86	368
1743	85	367
1744	85	367
1745	87	371
1746	86	375
1747	85	372
1748	85	368
1749	81	356
1750	79	353
1751	82	353
1752	81	358
1753	81	360
1754	80	352
1755	80	352
1756	80	350
1757	81	344
1758	81	340
1759	81	340
1760	81	340
1761	82	343
1762	79	337
1763	76	336
1764	74	335
1765	72	335
1766	70	333
1767	70	328
1768	71	324
1769	71	321
1770	71	325
1771	71	328
1772	76	338
1773	77	346
1774	77	348
1775	74	349
1776	72	347
1777	73	348
1778	73	348
1779	73	346
1780	74	348
1781	78	349
1782	79	353
1783	80	355
1784	81	354
1785	83	352
1786	86	347
1787	87	348
1788	87	350
1789	89	354
1790	90	357
1791	90	362
1792	90	364
1793	90	363
1794	91	362
1795	91	359
1796	90	359
1797	92	360
1798	92	360
1799	92	366
1800	92	365
1801	92	366
1802	90	362
1803	90	360
1804	90	359
1805	93	363
1806	92	356
1807	91	352
1808	90	345
1809	89	341
1810	89	343
1811	88	346
1812	87	343
1813	87	342
1814	97	354
1815	96	354
1816	95	354
1817	95	353
1818	95	352
1819	95	352
1820	95	360
1821	97	358
1822	98	359
1823	99	362
1824	98	365
1825	98	365
1826	99	368
1827	100	366
1828	100	365
1829	101	363
1830	101	362
1831	101	362
1832	102	365
1833	102	369
1834	105	373
1835	104	374
1836	102	371
1837	102	373
1838	104	373
1839	105	378
1840	104	374
1841	104	373
1842	107	370
1843	107	370
1844	106	367
1845	106	367
1846	104	372
1847	105	372
1848	104	372
1849	104	372
1850	104	367
1851	104	367
1852	103	364
1853	103	365
1854	103	367
1855	104	363
1856	105	364
1857	103	361
1858	103	360
1859	102	357
1860	102	356
1861	102	352
1862	102	351
1863	102	354
1864	104	355
1865	105	356
1866	105	356
1867	106	356
1868	107	353
1869	107	352
1870	107	351
1871	107	347
1872	107	350
1873	107	348
1874	107	344
1875	106	340
1876	105	338
1877	103	330
1878	104	326
1879	102	322
1880	101	321
1881	101	316
1882	99	315
1883	99	313
1884	99	314
1885	100	318
1886	101	317
1887	101	317
1888	101	318
1889	101	317
1890	103	319
1891	103	321
1892	103	319
1893	104	322
1894	106	320
1895	105	319
1896	103	318
1897	106	316
1898	106	315
1899	107	315
1900	107	318
1901	105	321
1902	101	319
1903	97	311
1904	99	310
1905	98	310
1906	98	314
1907	98	315
1908	97	315
1909	97	316
1910	96	317
1911	96	317
1912	96	318
1913	96	319
1914	96	323
1915	95	317
1916	98	317
1917	99	318
1918	101	320
1919	99	312
1920	98	312
1921	97	312
1922	95	303
1923	93	298
1924	95	290
1925	94	284
1926	93	281
1927	95	285
1928	98	288
1929	98	288
1930	99	291
1931	99	289
1932	96	284
1933	95	280
1934	93	274
1935	93	274
1936	94	274
1937	92	271
1938	93	274
1939	97	277
1940	98	279
1941	98	282
1942	97	280
1943	97	277
1944	98	278
1945	97	281
1946	97	282
1947	97	284
1948	95	285
1949	94	286
1950	96	285
1951	96	284
1952	95	279
1953	94	277
1954	95	277
1955	92	272
1956	92	274
1957	94	277
1958	92	277
1959	91	275
1960	91	271
1961	92	273
1962	90	269
1963	91	268
1964	93	270
1965	91	270
1966	91	268
1967	92	272
1968	92	271
1969	92	267
1970	94	265
1971	94	266
1972	95	266
1973	94	263
1974	93	260
1975	92	260
1976	94	261
1977	91	262
1978	91	261
1979	92	265
1980	93	270
1981	96	269
1982	97	269
1983	95	268
1984	96	269
1985	95	272
1986	97	272
1987	97	271
1988	95	267
1989	94	268
1990	92	271
1991	94	275
1992	94	276
1993	92	279
1994	94	281
1995	94	280
1996	93	281
1997	93	279
1998	93	278
1999	93	278
2000	94	277
2001	95	276
2002	96	276
2003	96	275
2004	98	276
2005	95	278
2006	95	275
2007	96	278
2008	96	280
2009	97	286
2010	97	287
2011	98	288
2012	97	290
2013	98	293
2014	99	295
2015	98	296
2016	98	299
2017	98	299
2018	97	303
2019	97	305
2020	97	311
2021	97	312
2022	99	312
2023	98	313
2024	97	316
2025	97	316
2026	97	317
2027	98	318
2028	98	316
2029	98	317
2030	97	320
2031	97	322
2032	98	325
2033	99	327
2034	99	328
2035	100	330
2036	99	328
2037	99	326
2038	99	329
2039	99	333
2040	98	333
2041	96	332
2042	95	335
2043	95	333
2044	93	334
2045	91	331
2046	91	331
2047	89	331
2048	89	328
2049	87	329
2050	87	329
2051	84	328
2052	86	325
2053	86	325
2054	86	330
2055	84	331
2056	84	330
2057	84	327
2058	84	326
2059	85	324
2060	87	325
2061	88	330
2062	87	329
2063	87	328
2064	87	325
2065	87	323
2066	88	320
2067	87	319
2068	87	320
2069	86	320
2070	83	315
2071	84	313
2072	84	306
2073	85	306
2074	85	309
2075	86	309
2076	87	316
2077	87	318
2078	86	314
2079	86	312
2080	87	317
2081	87	315
2082	89	316
2083	91	321
2084	92	324
2085	92	325
2086	92	329
2087	92	334
2088	92	337
2089	91	337
2090	88	337
2091	87	337
2092	87	338
2093	87	340
2094	87	342
2095	85	337
2096	84	338
2097	85	338
2098	83	335
2099	83	334
2100	84	329
2101	83	334
2102	86	331
2103	85	334
2104	84	335
2105	85	337
2106	86	333
2107	87	350
2108	87	351
2109	88	350
2110	90	351
2111	88	352
2112	88	351
2113	89	352
2114	91	353
2115	93	356
2116	95	359
2117	98	364
2118	100	372
2119	100	375
2120	99	374
2121	97	377
2122	97	378
2123	98	385
2124	99	391
2125	99	395
2126	98	392
2127	98	400
2128	101	401
2129	101	397
2130	101	395
2131	101	394
2132	98	399
2133	100	403
2134	100	402
